timestamp,time,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753460310720,16:18:30.720,ADA/USDT:USDT,0.7849,387.9,0.785,120.6,0.7849,3974984.3,
1753460310830,16:18:30.830,ADA/USDT:USDT,0.7849,389.4,0.785,117.1,0.785,3974987.8,
1753460310962,16:18:30.962,ADA/USDT:USDT,0.785,743.8,0.7851,2.0,0.785,3975104.9,
1753460311064,16:18:31.064,ADA/USDT:USDT,0.785,607.0,0.7851,2.2,0.785,3975104.9,
1753460311198,16:18:31.198,ADA/USDT:USDT,0.785,614.2,0.7851,2.2,0.785,3975104.9,
1753460311307,16:18:31.307,ADA/USDT:USDT,0.785,615.4,0.7851,2.3,0.785,3975104.9,
1753460311407,16:18:31.407,ADA/USDT:USDT,0.785,615.4,0.7851,2.5,0.785,3975104.9,
1753460311668,16:18:31.668,ADA/USDT:USDT,0.785,595.5,0.7851,43.2,0.785,3975104.9,
1753460311805,16:18:31.805,ADA/USDT:USDT,0.785,594.3,0.7851,2.8,0.785,3975104.9,
1753460312110,16:18:32.110,ADA/USDT:USDT,0.785,140.5,0.7851,438.8,0.785,3975104.9,
1753460312211,16:18:32.211,ADA/USDT:USDT,0.7849,204.1,0.785,412.2,0.785,3975104.9,
1753460312316,16:18:32.316,ADA/USDT:USDT,0.7849,288.8,0.785,237.6,0.785,3975104.9,
1753460312418,16:18:32.418,ADA/USDT:USDT,0.7848,26.0,0.7849,610.8,0.7849,3975113.6,
1753460312534,16:18:32.534,ADA/USDT:USDT,0.7848,174.8,0.7849,471.9,0.7849,3975113.6,
1753460312667,16:18:32.667,ADA/USDT:USDT,0.7848,87.6,0.7849,528.1,0.7849,3975113.6,
1753460312776,16:18:32.776,ADA/USDT:USDT,0.7848,87.5,0.7849,535.5,0.7849,3975113.6,
1753460312908,16:18:32.908,ADA/USDT:USDT,0.7848,0.1,0.7849,549.3,0.7849,3975113.6,
1753460313011,16:18:33.011,ADA/USDT:USDT,0.7848,360.9,0.7849,142.8,0.7849,3975113.6,
1753460313115,16:18:33.115,ADA/USDT:USDT,0.7848,250.4,0.7849,172.5,0.7849,3975113.6,
1753460313325,16:18:33.325,ADA/USDT:USDT,0.7848,25.9,0.7849,342.7,0.7849,3975113.6,
1753460313429,16:18:33.429,ADA/USDT:USDT,0.7848,0.1,0.7849,421.1,0.7849,3975113.6,
1753460313539,16:18:33.539,ADA/USDT:USDT,0.7847,0.4,0.7848,893.8,0.7848,3975113.7,
1753460313639,16:18:33.639,ADA/USDT:USDT,0.7846,133.4,0.7848,900.0,0.7847,3975114.1,
1753460313756,16:18:33.756,ADA/USDT:USDT,0.7846,0.1,0.7847,1004.1,0.7846,3975114.4,
1753460313877,16:18:33.877,ADA/USDT:USDT,0.7846,131.0,0.7847,865.0,0.7846,3975115.6,
1753460314006,16:18:34.006,ADA/USDT:USDT,0.7845,437.8,0.7846,630.8,0.7845,3975121.2,
1753460314217,16:18:34.217,ADA/USDT:USDT,0.7845,517.7,0.7846,1.7,0.7845,3975121.5,
1753460314322,16:18:34.322,ADA/USDT:USDT,0.7845,499.4,0.7846,0.3,0.7845,3975121.5,
1753460314473,16:18:34.473,ADA/USDT:USDT,0.7846,630.1,0.7847,105.1,0.7846,3975122.9,
1753460314576,16:18:34.576,ADA/USDT:USDT,0.7846,559.5,0.7847,190.7,0.7846,3975122.9,
1753460314689,16:18:34.689,ADA/USDT:USDT,0.7846,567.5,0.7847,145.7,0.7846,3975123.2,
1753460314803,16:18:34.803,ADA/USDT:USDT,0.7846,567.5,0.7847,60.6,0.7846,3975123.2,
1753460314907,16:18:34.907,ADA/USDT:USDT,0.7847,180.7,0.7848,446.6,0.7846,3975123.2,
1753460315008,16:18:35.008,ADA/USDT:USDT,0.7846,245.9,0.7847,199.9,0.7846,3975123.2,
1753460315222,16:18:35.222,ADA/USDT:USDT,0.7846,152.4,0.7847,359.4,0.7846,3975123.2,
1753460315348,16:18:35.348,ADA/USDT:USDT,0.7846,153.6,0.7847,290.3,0.7846,3975123.2,
1753460315457,16:18:35.457,ADA/USDT:USDT,0.7846,420.6,0.7847,66.8,0.7846,3975123.2,
1753460315576,16:18:35.576,ADA/USDT:USDT,0.7846,420.6,0.7847,0.7,0.7846,3975123.2,
